experiment,lambda,alpha,mean_rms,mean_sweeps
repeated_presentations,0.0,0.01,0.129743196959755,229.73
repeated_presentations,0.1,0.01,0.13004976780248317,214.05
repeated_presentations,0.3,0.01,0.13106090790888886,186.45
repeated_presentations,0.5,0.01,0.1326530481038852,159.05
repeated_presentations,0.7,0.01,0.13522743614720023,131.32
repeated_presentations,0.9,0.01,0.14536135761274907,113.45
repeated_presentations,1.0,0.01,0.1727726079615366,109.18
single_presentation,0.0,0.0,0.2357022603955158,1.0
single_presentation,0.0,0.05,0.17501490954358573,1.0
single_presentation,0.0,0.1,0.1312177759468609,1.0
single_presentation,0.0,0.15,0.10366721733380514,1.0
single_presentation,0.0,0.2,0.09220083491542351,1.0
single_presentation,0.0,0.25,0.09676352504439359,1.0
single_presentation,0.0,0.3,0.11986947635838599,1.0
single_presentation,0.0,0.35,0.17153081136886386,1.0
single_presentation,0.0,0.4,0.27812519185597956,1.0
single_presentation,0.0,0.45,0.5311652015231553,1.0
single_presentation,0.0,0.5,1.2434993426904841,1.0
single_presentation,0.0,0.55,3.2841039304996014,1.0
single_presentation,0.0,0.6,8.988466165367257,1.0
single_presentation,0.1,0.0,0.2357022603955158,1.0
single_presentation,0.1,0.05,0.1721361072983248,1.0
single_presentation,0.1,0.1,0.12754547352035447,1.0
single_presentation,0.1,0.15,0.10066684161491668,1.0
single_presentation,0.1,0.2,0.09044698394641493,1.0
single_presentation,0.1,0.25,0.09500871216251715,1.0
single_presentation,0.1,0.3,0.11189382092556892,1.0
single_presentation,0.1,0.35,0.1433627444059276,1.0
single_presentation,0.1,0.4,0.20251169710239325,1.0
single_presentation,0.1,0.45,0.32767342437778557,1.0
single_presentation,0.1,0.5,0.6501586135887097,1.0
single_presentation,0.1,0.55,1.5460758670781516,1.0
single_presentation,0.1,0.6,3.9397157011420476,1.0
single_presentation,0.3,0.0,0.2357022603955158,1.0
single_presentation,0.3,0.05,0.16589877118167579,1.0
single_presentation,0.3,0.1,0.1204639247773359,1.0
single_presentation,0.3,0.15,0.09646012472896345,1.0
single_presentation,0.3,0.2,0.09084432969798525,1.0
single_presentation,0.3,0.25,0.0994816933324947,1.0
single_presentation,0.3,0.3,0.11585608502663484,1.0
single_presentation,0.3,0.35,0.1370574253749049,1.0
single_presentation,0.3,0.4,0.16434462759790092,1.0
single_presentation,0.3,0.45,0.20519351552547044,1.0
single_presentation,0.3,0.5,0.2981287835893097,1.0
single_presentation,0.3,0.55,0.5261644520274263,1.0
single_presentation,0.3,0.6,1.08335955375555,1.0
single_presentation,0.5,0.0,0.2357022603955158,1.0
single_presentation,0.5,0.05,0.15906664341846352,1.0
single_presentation,0.5,0.1,0.11486403883838754,1.0
single_presentation,0.5,0.15,0.09684146154569559,1.0
single_presentation,0.5,0.2,0.0988511375118397,1.0
single_presentation,0.5,0.25,0.11300541734966126,1.0
single_presentation,0.5,0.3,0.13151217962591497,1.0
single_presentation,0.5,0.35,0.15257652601781818,1.0
single_presentation,0.5,0.4,0.17840576558990417,1.0
single_presentation,0.5,0.45,0.21068497302364492,1.0
single_presentation,0.5,0.5,0.25278790717821265,1.0
single_presentation,0.5,0.55,0.35780412646602827,1.0
single_presentation,0.5,0.6,0.5795853216823819,1.0
single_presentation,0.7,0.0,0.2357022603955158,1.0
single_presentation,0.7,0.05,0.15248280561319608,1.0
single_presentation,0.7,0.1,0.11472812930993405,1.0
single_presentation,0.7,0.15,0.10865364637843296,1.0
single_presentation,0.7,0.2,0.12160863381539785,1.0
single_presentation,0.7,0.25,0.1421872181355768,1.0
single_presentation,0.7,0.3,0.16472917961340522,1.0
single_presentation,0.7,0.35,0.18824830619409166,1.0
single_presentation,0.7,0.4,0.21497548492853913,1.0
single_presentation,0.7,0.45,0.2494223609572887,1.0
single_presentation,0.7,0.5,0.2939412666708306,1.0
single_presentation,0.7,0.55,0.3716875993253063,1.0
single_presentation,0.7,0.6,0.535197321268511,1.0
single_presentation,0.9,0.0,0.2357022603955158,1.0
single_presentation,0.9,0.05,0.1530994491739416,1.0
single_presentation,0.9,0.1,0.13944896569160256,1.0
single_presentation,0.9,0.15,0.1602811355708123,1.0
single_presentation,0.9,0.2,0.1930209858768557,1.0
single_presentation,0.9,0.25,0.22893586724070572,1.0
single_presentation,0.9,0.3,0.2659635103055809,1.0
single_presentation,0.9,0.35,0.30510554958036157,1.0
single_presentation,0.9,0.4,0.34939524820634454,1.0
single_presentation,0.9,0.45,0.40591376520516315,1.0
single_presentation,0.9,0.5,0.49222239683065966,1.0
single_presentation,0.9,0.55,0.6445181953110763,1.0
single_presentation,0.9,0.6,0.9324980987051397,1.0
single_presentation,1.0,0.0,0.2357022603955158,1.0
single_presentation,1.0,0.05,0.17636207385638303,1.0
single_presentation,1.0,0.1,0.20068636164082843,1.0
single_presentation,1.0,0.15,0.25226003119277096,1.0
single_presentation,1.0,0.2,0.3086405346983897,1.0
single_presentation,1.0,0.25,0.3672240993428651,1.0
single_presentation,1.0,0.3,0.43551584416619876,1.0
single_presentation,1.0,0.35,0.5334209877997742,1.0
single_presentation,1.0,0.4,0.6945718325047804,1.0
single_presentation,1.0,0.45,0.9855499892511537,1.0
single_presentation,1.0,0.5,1.5332636419076076,1.0
single_presentation,1.0,0.55,2.563403675810168,1.0
single_presentation,1.0,0.6,4.488838965386215,1.0
