seed,frames,mean_reward_10,config
0,1000,9.7,large_batch
0,2000,15.7,large_batch
0,3000,18.6,large_batch
0,4000,87.8,large_batch
0,5000,147.5,large_batch
0,6000,179.0,large_batch
0,7000,229.6,large_batch
0,8000,242.4,large_batch
0,9000,230.5,large_batch
0,10000,233.9,large_batch
0,11000,244.5,large_batch
0,12000,249.4,large_batch
0,13000,209.1,large_batch
0,14000,207.2,large_batch
0,15000,237.7,large_batch
0,16000,227.5,large_batch
0,17000,197.0,large_batch
0,18000,194.2,large_batch
0,19000,159.0,large_batch
0,20000,140.6,large_batch
